Date,Video Folder,Video #,Trial,Tank,Group,activity_numchases,activity_timechases,novel_numchases,novel_timechases,food_numchases,food_timechases,pred_numchases,pred_timechases,,,,,
10/9/17,RH2,1,2,4,4B_3,0,0,0,0,3,5818,1,701,,,,,
10/11/17,RH2,1,3,4,4B_3,0,0,9,7030,1,3751,2,1683,,,,,
8/15/17,RH5 81517,"1,2",1,9,4C,22,56275,23,79235,16,16644,0,0,,,,,
8/17/17,RH5 81717,"1,2,3,4,5,6,7,8",2,9,4C,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
8/19/17,RH5,1,3,9,4C,26,82546,12,111709,24,61715,11,22421,,,,,
9/28/17,RH5,"1,2",1,9,4C_2,0,0,9,19939,2,1426,3,2053,,,,,
9/30/17,RH5,"1,2",2,9,4C_2,0,0,11,14130,10,8657,NA,NA,,,,,
10/7/17,RH5,"1,2",1,9,4C_3,1,829,0,0,0,0,1,1054,,,,,
10/9/17,RH5,1,2,9,4C_3,0,0,6,7007,0,0,0,0,,,,,
10/11/17,RH5,1,3,9,4C_3,0,0,2,1220,0,0,0,0,,,,,
8/15/17,RH5 81517,"1,2",1,10,4D,30,100257,31,107650,9,17463,26,31477,,,,,
8/17/17,RH5 81717,"1,2,3,4,5,6,7,8",2,10,4D,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
8/19/17,RH5,1,3,10,4D,33,84396,28,97628,5,22926,9,25034,,,,,
9/28/17,RH5,"1,2",1,10,4D_2,12,31764,20,62825,6,26220,4,6869,,,,,
9/30/17,RH5,"1,2",2,10,4D_2,19,98903,23,81861,10,42633,NA,NA,,,,,
10/2/17,RH5,1,3,10,4D_2,20,138314,22,71662,7,13173,27,108379,,,,,
10/7/17,RH5,"1,2",1,10,4D_3,NA,NA,19,52187,7,18914,8,12096,,,,,
10/9/17,RH5,1,2,10,4D_3,37,99120,12,36355,16,124685,14,20576,,,,,
10/11/17,RH5,1,3,10,4D_3,40,133372,22,41781,5,5806,3,5119,,,,,
8/15/17,RH2 81517,2,1,3,4E,7,25164,24,47543,12,35908,NA,NA,,,,,
9/28/17,RH2,2,1,3,4E_2,0,0,7,25140,0,0,0,0,,,,,
9/30/17,RH2,2,2,3,4E_2,0,0,13,29889,10,17698,2,1150,,,,,
10/2/17,RH2,2,3,3,4E_2,0,0,6,12741,8,18562,0,0,,,,,
10/7/17,RH2,2,1,3,4E_3,0,0,1,1863,1,983,0,0,,,,,
8/15/17,RH2 81517,2,1,4,4F,3,1726,20,79539,17,34332,NA,NA,,,,,
8/17/17,RH2 81717,2,2,4,4F,0,0,3,10345,1,702,2,8813,,,,,
9/28/17,RH2,2,1,4,4F_2,0,0,6,13063,0,0,0,0,,,,,
9/30/17,RH2,2,2,4,4F_2,0,0,34,66666,11,17597,0,0,,,,,
10/7/17,RH2,2,1,4,4F_3,1,383,5,6413,5,8810,0,0,,,,,
